노선,항공사,좌석수,성인,유아,여객수,이용률
인천-김해,KAL,25349,17263,62,17325,68.1
김해-인천,KAL,25364,17793,96,17889,70.2
제주-인천,AAR,485,370,1,371,76.3
제주-인천,ESR,378,358,1,359,94.7
제주-인천,JJA,189,181,1,182,95.8
제주-인천,JNA,188,171,1,172,91
제주-인천,KAL,472,445,1,446,94.3
제주-인천,TWB,378,351,2,353,92.9
인천-대구,KAL,4804,2416,15,2431,50.3
대구-인천,KAL,4769,2370,12,2382,49.7
김포-김해,ABL,56092,50681,307,50988,90.4
김포-김해,JJA,11454,10484,34,10518,91.5
김포-김해,JNA,9828,9338,59,9397,95
김포-김해,KAL,39984,36018,227,36245,90.1
김해-김포,ABL,61713,54142,323,54465,87.7
김해-김포,JJA,11454,10576,34,10610,92.3
김해-김포,JNA,10017,8750,51,8801,87.4
김해-김포,KAL,39844,36071,21213,57284,90.5
김포-제주,AAR,163643,151512,1783,153295,92.6
김포-제주,ABL,45494,43512,326,43838,95.6
김포-제주,ASV,4400,4166,39,4205,94.7
김포-제주,ESR,92988,87916,656,88572,94.5
김포-제주,JJA,118503,113581,1075,114656,95.8
김포-제주,JNA,46212,44036,364,44400,95.3
김포-제주,KAL,159293,147616,1712,149328,92.7
김포-제주,TWB,82026,77966,823,78789,95.1
제주-김포,AAR,162963,152759,1879,154638,93.7
제주-김포,ABL,39870,38407,333,38740,96.3
제주-김포,ASV,4400,4033,38,4071,91.7
제주-김포,ESR,92421,89690,693,90383,97
제주-김포,JJA,118314,112447,917,113364,95
제주-김포,JNA,46606,45263,387,45650,97.1
제주-김포,KAL,158967,150869,1668,152537,94.9
제주-김포,TWB,81648,78472,765,79237,96.1
김포-광주,AAR,10788,6624,76,6700,61.4
광주-김포,AAR,10788,7040,78,7118,65.3
김포-여수,AAR,10788,7225,86,7311,67
김포-여수,JNA,5859,3909,33,3942,66.7
여수-김포,AAR,10788,7224,71,7295,67
여수-김포,JNA,5670,4466,46,4512,78.8
김포-울산,JNA,5670,4216,83,4299,74.4
김포-울산,KAL,8540,7153,45,7198,83.8
울산-김포,JNA,5670,4788,63,4851,84.4
울산-김포,KAL,8540,7081,48,7129,82.9
김포-사천,JNA,11529,8553,92,8645,74.2
사천-김포,JNA,11529,8662,89,8751,75.1
김포-포항경주,JNA,5859,2606,49,2655,44.5
포항경주-김포,JNA,5670,2485,37,2522,43.8
제주-김해,ABL,79241,70126,596,70722,88.5
제주-김해,JJA,37611,34831,285,35116,92.6
제주-김해,JNA,28667,26098,285,26383,91
제주-김해,KAL,30588,27546,234,27780,90.1
김해-제주,ABL,73617,68690,648,69338,93.3
김해-제주,JJA,37611,35336,281,35617,94
김해-제주,JNA,28667,26971,279,27250,94.1
김해-제주,KAL,30713,29013,266,29279,94.5
제주-대구,AAR,10788,7377,49,7426,68.4
제주-대구,JJA,17388,15800,167,15967,90.9
제주-대구,JNA,28826,24858,308,25166,86.2
제주-대구,KAL,11626,10091,144,10235,86.8
제주-대구,TWB,39312,36378,272,36650,92.5
대구-제주,AAR,10788,7711,73,7784,71.5
대구-제주,JJA,17388,15787,110,15897,90.8
대구-제주,JNA,28826,25832,316,26148,89.6
대구-제주,KAL,11626,9431,139,9570,81.1
대구-제주,TWB,39312,35799,329,36128,91.1
제주-청주,AAR,16182,14816,202,15018,91.6
제주-청주,EOK,16740,14772,199,14971,88.2
제주-청주,ESR,23436,21708,189,21897,92.6
제주-청주,JJA,24948,23196,182,23378,93
제주-청주,JNA,28855,27051,366,27417,93.7
제주-청주,KAL,16952,14563,281,14844,85.9
제주-청주,TWB,25893,24224,399,24623,93.6
청주-제주,AAR,16182,14114,206,14320,87.2
청주-제주,EOK,16740,15023,173,15196,89.7
청주-제주,ESR,23247,21677,181,21858,93.2
청주-제주,JJA,24948,22950,262,23212,92
청주-제주,JNA,28666,26380,288,26668,92
청주-제주,KAL,16952,15694,316,16010,92.6
청주-제주,TWB,25893,24379,425,24804,94.2
제주-무안,JJA,3969,2728,97,2825,68.7
무안-제주,JJA,4158,2987,49,3036,71.8
제주-광주,AAR,21576,15324,127,15451,71
제주-광주,JJA,11718,10903,86,10989,93
제주-광주,JNA,20570,18483,167,18650,89.9
제주-광주,KAL,18833,15136,166,15302,80.4
제주-광주,TWB,23436,21262,21472,42734,90.7
광주-제주,AAR,21576,16672,153,16825,77.3
광주-제주,JJA,11718,10962,99,11061,93.5
광주-제주,JNA,20570,17186,102,17288,83.5
광주-제주,KAL,18833,15144,209,15353,80.4
광주-제주,TWB,23436,21412,197,21609,91.4
제주-여수,AAR,11439,8477,94,8571,74.1
제주-여수,JNA,5670,5391,65,5456,95.1
제주-여수,KAL,4340,3198,42,3240,73.7
여수-제주,AAR,11439,9068,97,9165,79.3
여수-제주,JNA,5859,5550,71,5621,94.7
여수-제주,KAL,4340,2989,44,3033,68.9
제주-울산 ,JNA,5859,4177,92,4269,71.3
제주-울산 ,KAL,4200,3737,95,3832,89
울산-제주,JNA,5859,5477,141,5618,93.5
울산-제주,KAL,4200,3307,68,3375,78.7
제주-사천,KAL,2632,2258,43,2301,85.8
사천-제주,KAL,2632,2133,42,2175,81
제주-포항경주,JNA,11529,9141,114,9255,79.3
포항경주-제주,JNA,11529,9027,121,9148,78.3
제주-군산,ESR,11718,10472,123,10595,89.4
제주-군산,JNA,5859,5033,79,5112,85.9
군산-제주,ESR,11718,10522,116,10638,89.8
군산-제주,JNA,5859,5124,96,5220,87.5
제주-원주,JNA,11529,9552,166,9718,82.9
원주-제주,JNA,11529,9507,164,9671,82.5
